team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
evilgeniuses,2,sumail,The International 2016,20770460,3 ,"2,180,898 ",02/08/2016,1913.2223264567647,43.60446571945098,1804.2111621581373,13/08/2016,1920.9424397921068,43.14330975625814,1813.0841654014614
evilgeniuses,3,universe,The International 2016,20770460,3 ,"2,180,898 ",02/08/2016,1913.2223264567647,43.60446571945098,1804.2111621581373,13/08/2016,1920.9424397921068,43.14330975625814,1813.0841654014614
evilgeniuses,4,zai,The International 2016,20770460,3 ,"2,180,898 ",02/08/2016,1913.2223264567647,43.60446571945098,1804.2111621581373,13/08/2016,1920.9424397921068,43.14330975625814,1813.0841654014614
evilgeniuses,5,ppd,The International 2016,20770460,3 ,"2,180,898 ",02/08/2016,1913.2223264567647,43.60446571945098,1804.2111621581373,13/08/2016,1920.9424397921068,43.14330975625814,1813.0841654014614
teamsecret,1,arteezy,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1884.9146558101102,42.528169790976364,1778.5942313326693,13/08/2016,1879.9717399577867,44.71068507213662,1768.1950272774452
teamsecret,2,eternalenvy,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1884.9146558101102,42.528169790976364,1778.5942313326693,13/08/2016,1879.9717399577867,44.71068507213662,1768.1950272774452
teamsecret,3,bulba,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1884.9146558101102,42.528169790976364,1778.5942313326693,13/08/2016,1879.9717399577867,44.71068507213662,1768.1950272774452
teamsecret,4,puppey,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1884.9146558101102,42.528169790976364,1778.5942313326693,13/08/2016,1879.9717399577867,44.71068507213662,1768.1950272774452
teamsecret,5,pieliedie,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1884.9146558101102,42.528169790976364,1778.5942313326693,13/08/2016,1879.9717399577867,44.71068507213662,1768.1950272774452
alliance,1,loda,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1896.935737837894,39.75449272856477,1797.5495060164822,13/08/2016,1879.4825574023455,41.38887624152797,1776.0103667985256
alliance,2,s4,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1896.935737837894,39.75449272856477,1797.5495060164822,13/08/2016,1879.4825574023455,41.38887624152797,1776.0103667985256
alliance,3,admiralbulldog,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1896.935737837894,39.75449272856477,1797.5495060164822,13/08/2016,1879.4825574023455,41.38887624152797,1776.0103667985256
alliance,4,akke,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1896.935737837894,39.75449272856477,1797.5495060164822,13/08/2016,1879.4825574023455,41.38887624152797,1776.0103667985256
alliance,5,egm,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1896.935737837894,39.75449272856477,1797.5495060164822,13/08/2016,1879.4825574023455,41.38887624152797,1776.0103667985256
fnatic,1,mushi,The International 2016,20770460,4 ,"1,453,932 ",02/08/2016,1904.326257855126,37.40303996965835,1810.8186579309802,13/08/2016,1922.436056945132,38.39905858522316,1826.438410482074
fnatic,2,midone,The International 2016,20770460,4 ,"1,453,932 ",02/08/2016,1904.326257855126,37.40303996965835,1810.8186579309802,13/08/2016,1922.436056945132,38.39905858522316,1826.438410482074
fnatic,3,ohaiyo,The International 2016,20770460,4 ,"1,453,932 ",02/08/2016,1904.326257855126,37.40303996965835,1810.8186579309802,13/08/2016,1922.436056945132,38.39905858522316,1826.438410482074
fnatic,4,dj,The International 2016,20770460,4 ,"1,453,932 ",02/08/2016,1904.326257855126,37.40303996965835,1810.8186579309802,13/08/2016,1922.436056945132,38.39905858522316,1826.438410482074
fnatic,5,343,The International 2016,20770460,4 ,"1,453,932 ",02/08/2016,1904.326257855126,37.40303996965835,1810.8186579309802,13/08/2016,1922.436056945132,38.39905858522316,1826.438410482074
complexitygaming,1,chessie,The International 2016,20770460,0.00,0.00,02/08/2016,1794.7915367119936,41.45451086926958,1691.1552595388196,13/08/2016,1794.7915367119936,44.02462328091081,1684.7299785097166
complexitygaming,2,limmp,The International 2016,20770460,0.00,0.00,02/08/2016,1794.7915367119936,41.45451086926958,1691.1552595388196,13/08/2016,1794.7915367119936,44.02462328091081,1684.7299785097166
complexitygaming,3,melonzz,The International 2016,20770460,0.00,0.00,02/08/2016,1794.7915367119936,41.45451086926958,1691.1552595388196,13/08/2016,1794.7915367119936,44.02462328091081,1684.7299785097166
complexitygaming,4,zfreek,The International 2016,20770460,0.00,0.00,02/08/2016,1794.7915367119936,41.45451086926958,1691.1552595388196,13/08/2016,1794.7915367119936,44.02462328091081,1684.7299785097166
complexitygaming,5,handsken,The International 2016,20770460,0.00,0.00,02/08/2016,1794.7915367119936,41.45451086926958,1691.1552595388196,13/08/2016,1794.7915367119936,44.02462328091081,1684.7299785097166
ehome,1,iceiceice,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1922.840594072629,36.71081654845647,1831.0635527014879,13/08/2016,1914.1036020861422,38.39488396316647,1818.116392178226
ehome,2,oldchicken,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1922.840594072629,36.71081654845647,1831.0635527014879,13/08/2016,1914.1036020861422,38.39488396316647,1818.116392178226
ehome,3,eleven,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1922.840594072629,36.71081654845647,1831.0635527014879,13/08/2016,1914.1036020861422,38.39488396316647,1818.116392178226
ehome,4,lanm,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1922.840594072629,36.71081654845647,1831.0635527014879,13/08/2016,1914.1036020861422,38.39488396316647,1818.116392178226
ehome,5,fenrir,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1922.840594072629,36.71081654845647,1831.0635527014879,13/08/2016,1914.1036020861422,38.39488396316647,1818.116392178226
alliance,1,loda,World Cyber Arena 2016 EU Main Qualifier,54500,5-6 ,"1,357",23/08/2016,1874.3391831056128,41.64043290121306,1770.2381008525801,01/09/2016,1874.3391831056128,44.213199258150794,1763.806184960236
